name,sku,price_net,stock,category,description,image_path,active
"RESISTENCIA 4,7KΩ - 2W 5% (25 unidades)",E-1A/2W4.7K5,2000,31,inicio,,products/E-1A/2W4.7K5.jpg,True
RESISTENCIAS 1/6W 1% (50 unidades),R-1/6-5-1,0,122,inicio,"<p>pcs, W, UNIDADES, RESISTENCIAS</p>",products/R-1/6-5-1.jpg,True
PULSADOR METÁLICO 16MM IP65 CON LED 24V,H4-1-1,4000,23,inicio,"<p>PULSADOR, 16MM, METALICO, IP65</p>",products/H4-1-1.jpg,True
PULSADOR METALICO 19MM IP65 2 PINES,H3-13-1,3000,32,inicio,"<p>PULSADOR, METALICO, 15MM 5 PINES</p>",products/H3-13-1.jpg,True
PULSADOR METALICO ALTO 28MM IP67 2 PINES,M3B-PM28,10000,108,inicio,"<p>PULSADOR, METALICO, 15MM 5 PINES</p>",products/M3B-PM28.jpg,True
CONDENSADOR 470UF /25V,I3-15-1,195,1,condensadores,"<p>CONDENSADOR, CONDENSADORES, ELECTROLITICOS, UF, 25V, 4700, 4700UF</p>",products/I3-15-1.jpg,True
CONECTOR RJ45 METALICO (10U),RJ-45-R1- 24-1,700,40,conectores,"<p>CONECTOR, RJ45, CONECTORES</p>",products/RJ-45-R1- 24-1.jpg,True
CONECTOR RJ45 METALICO (10U),RJ-45-R1- 24-2,1000,38,conectores,"<p>CONECTOR, RJ45, CONECTORES</p>",products/RJ-45-R1- 24-2.jpg,True
CAJA FERRULE 1200 PCS,C30446-1,4700,3,conectores,"<p>CAJA,FERRULE,</p>",products/C30446-1.jpg,True
PIN HEADER MACHO 1X40 (10 U),PH1X40_GL,0,200,conectores,"<p>MACHO, ARDUINO, PINES, PIN, HEADER, PACK</p>",products/PH1X40_GL.jpg,True
SOLMAFORO UV-15040-RGB-SST,UV-15040-RGB-SST,0,0,desarrollos,,products/UV-15040-RGB-SST.jpg,True
SOLMAFORO UV-13040-RGB-SS,UV-13040-RGB-SS,0,0,desarrollos,,products/UV-13040-RGB-SS.jpg,True
SOLMAFORO UV-15040-RGB-SLT,UV-15040-RGB-SLT,0,0,desarrollos,,products/UV-15040-RGB-SLT.jpg,True
SOLMAFORO UV-15040-RGB-SST-i,UV-15040-RGB-SST-i,0,0,desarrollos,,products/UV-15040-RGB-SST-i.jpg,True
TECLADO GAMER CON MOUSE,M-1500,12521,6,electronica,"<p>LED, UÑA, LUZ, JUEGO, MANO, TECLADO, USB, GAMER, RETROILUMINADO</p>",products/M-1500.jpg,True
Marcador ScoreSHOW 800-5,ScoreSHOW-1080-5-1,0,0,deportivo,<p>Marcador Multideportivo  de 185x256cm Full color alta definición</p>,products/ScoreSHOW-1080-5-1.jpg,True
MODULO RFID RC522,RFID-RC522,3300,7,arduino,,products/RFID-RC522.jpg,True
MODULO CONVERTIDOR DC A DC BOOST STEP-UP VOL-R010,151422,4000,10,arduino,,products/151422.jpg,True
RELE 220V 8PINES,,5500,0,electronica,,products/.jpg,True
BASE RELE 8 PINES,,2000,0,electronica,,products/.jpg,True
PULSADOR NC,nc,1681,20,electricidad,,products/nc.jpg,True
CABLE PARALELO 12AWG NEGRO-ROJO 100% COBRE,R100,1681,98,cables,,products/R100.jpg,True
RADAR DE VELOCIDAD,,0,0,desarrollos,,products/.jpg,True
SEÑALETICA VIAL P5AR- 96x96,P5AR-96x96,0,0,desarrollos,"<p>LED, SEÑALETICA, semaforo, TRAFFIC, TRAFICO, VMS</p>",products/P5AR-96x96.jpg,True
VELOCIMETRO LED 32X32CM  GPS3232V,GPS3232V,0,0,desarrollos,,products/GPS3232V.jpg,True
RELOJ INDUSTRIAL  CON ALARMAS RA32198BT,RA32198BT,0,0,desarrollos,,products/RA32198BT.jpg,True
SOFTWARE CON CERTIFICACION FIBA,,0,0,deportivo,,products/.jpg,False
EXTRACTOR DE SOLDADURA 34CM,ZD-108,7000,15,extractor,"<p>SOLDADURA, ESTAÑO, BOMBA, EXTRATOR, EXTRACTORA</p>",products/ZD-108.jpg,True
SENSOR CNY-70,A2-8,600,345,electronica,,products/A2-8.jpg,True
Marcador ScoreSHOW 1080,ScoreSHOW-1080-5,0,0,deportivo,<p>Marcador Multideportivo  de 100x330cm Full color alta definición</p>,products/ScoreSHOW-1080-5.jpg,True
